Designator,Mid X,Mid Y,Rotation,Layer
C1A1,78.5,-72.25,0.0,top
C1B1,78.5,-74.75,0.0,top
C1C1,78.5,-77.25,0.0,top
C2A1,87.0,-72.25,180.0,top
C2B1,87.0,-74.75,180.0,top
C3,82.0,-67.75,90.0,top
C4,78.5,-62.75,90.0,top
C5,73.5875,-62.75,90.0,top
D1,85.025,-59.25,0.0,top
F1,83.3,-84.25,0.0,top
IC1,78.5,-69.0,90.0,top
J1,135.81,-84.75,90.0,top
J2,77.0,-92.75,0.0,top
J3,132.985,-89.0,270.0,top
L1,88.0,-66.25,0.0,top
Q1,92.5,-88.5625,90.0,top
Q2,114.1875,-91.5,0.0,top
Q3,100.0,-88.8125,90.0,top
R1,71.0875,-62.75,90.0,top
R10,93.25,-84.5,270.0,top
R11,96.75,-85.25,0.0,top
R12,118.75,-92.75,180.0,top
R13,118.75,-90.25,180.0,top
R14,102.0,-83.0,180.0,top
R15,102.0,-85.25,180.0,top
R2,76.0875,-62.75,270.0,top
R3,73.5,-77.25,180.0,top
R4,74.9125,-58.25,0.0,top
R5,74.25,-70.5,90.0,top
R6,74.0,-66.25,180.0,top
R7,76.25,-85.75,90.0,top
R8,78.0,-85.75,90.0,top
R9,108.5,-86.5,90.0,top
U1,127.1911,-66.1125,270.0,top
